AirportId,IATA,ICAO,Latitude,Longitude
1,GDN,EPGD,54.377569,18.466222
2,KRK,EPKK,50.077731,19.784836
3,,EPKM,50.238147,19.034181
4,KTW,EPKT,50.474253,19.080019
5,,EPML,50.322275,21.462131
6,POZ,EPPO,52.421031,16.826325
7,RZE,EPRZ,50.109958,22.019
8,SZZ,EPSC,53.584731,14.902206
9,OSP,EPSK,54.478889,17.1075
10,,EPSN,53.790639,15.82625
11,WAW,EPWA,52.16575,20.967122
12,WRO,EPWR,51.102683,16.885836
