AirportId,IATA,ICAO,Latitude,Longitude
146,YUL,CYUL,45.470556,-73.740833
147,YUT,CYUT,66.521389,-86.224722
148,YUX,CYUX,68.776111,-81.243611
149,YUY,CYUY,48.206111,-78.835556
150,YVC,CYVC,55.15139,-105.261944
151,YVG,CYVG,53.355833,-110.82389
152,YVM,CYVM,67.545833,-64.031389
153,YVO,CYVO,48.053333,-77.782778
154,YVP,CYVP,58.096111,-68.426944
155,YVQ,CYVQ,65.281617,-126.798219
156,YVR,CYVR,49.193889,-123.184444
157,YVT,CYVT,55.841944,-108.4175
158,YVV,CYVV,44.745834,-81.107222
159,YWA,CYWA,45.952221,-77.319168
160,YWG,CYWG,49.910036,-97.239886
161,YWK,CYWK,52.921944,-66.864444
162,YWL,CYWL,52.183056,-122.054167
163,YWY,CYWY,63.209444,-123.436667
164,YXC,CYXC,49.612222,-115.781944
165,YXD,CYXD,53.5725,-113.520556
166,YXE,CYXE,52.170834,-106.699722
167,YXH,CYXH,50.01889,-110.720833
168,YXJ,CYXJ,56.238056,-120.740278
169,YXL,CYXL,50.113889,-91.905278
170,YXP,CYXP,66.145,-65.713611
171,YXR,CYXR,47.695,-79.848889
172,YXS,CYXS,53.889444,-122.678889
173,YXT,CYXT,54.468508,-128.576219
174,YXU,CYXU,43.033056,-81.151111
175,YXX,CYXX,49.025278,-122.360556
176,YXY,CYXY,60.709553,-135.067269
177,YYB,CYYB,46.363611,-79.422778
178,YYC,CYYC,51.113888,-114.020278
179,YYD,CYYD,54.824722,-127.182778
180,YYE,CYYE,58.836389,-122.596944
181,YYF,CYYF,49.463056,-119.602222
182,YYG,CYYG,46.290001,-63.121111
183,YYH,CYYH,69.546667,-93.576667
184,YYJ,CYYJ,48.646944,-123.425833
185,YYL,CYYL,56.863888,-101.07611
186,YYN,CYYN,50.291944,-107.690556
187,YYQ,CYYQ,58.739167,-94.065
188,YYR,CYYR,53.319168,-60.425833
189,YYT,CYYT,47.61861,-52.751945
190,YYU,CYYU,49.413889,-82.4675
191,YYW,CYYW,50.290279,-88.909721
192,YYY,CYYY,48.608612,-68.208056
193,YYZ,CYYZ,43.677223,-79.630556
194,YZD,CYZD,43.7425,-79.465556
195,YZE,CYZE,45.885277,-82.567778
196,YZF,CYZF,62.462778,-114.440278
197,YZH,CYZH,55.293056,-114.777222
198,YZP,CYZP,53.254333,-131.813833
199,YZR,CYZR,42.999444,-82.308889
200,YZT,CYZT,50.680556,-127.366667
201,YZU,CYZU,54.14389,-115.786667
202,YZV,CYZV,50.223333,-66.265556
203,YZW,CYZW,60.172779,-132.742778
204,YZX,CYZX,44.984444,-64.916944
205,ZFA,CZFA,62.2075,-133.375833
206,ZFM,CZFM,67.4075,-134.860556
207,,DAAB,36.503613,2.814167
208,,DAAD,35.3325,4.206389
209,BJA,DAAE,36.711997,5.069922
210,ALG,DAAG,36.691014,3.215408
211,DJG,DAAJ,24.292767,9.452444
212,QFD,DAAK,36.545834,2.876111
213,,DAAN,26.710103,0.285647
214,VVZ,DAAP,26.723536,8.622653
215,,DAAQ,35.525414,2.878714
216,TMR,DAAT,22.811461,5.451075
217,GJL,DAAV,36.795136,5.873608
218,,DAAY,33.535853,-0.242353
219,,DAAZ,35.752239,0.626272
220,AAE,DABB,36.822225,7.809167
221,CZL,DABC,36.276028,6.620386
222,TEE,DABS,35.431611,8.120717
224,HRM,DAFH,32.930431,3.311542
225,TID,DAOB,35.341136,1.463147
226,,DAOE,35.735389,-0.805389
227,TIN,DAOF,27.700372,-8.167103
228,QAS,DAOI,36.212658,1.331775
229,TAF,DAOL,35.542444,-0.532278
230,TLM,DAON,35.016667,-1.45
231,ORN,DAOO,35.623858,-0.621183
232,,DAOS,35.171775,-0.593275
233,MUW,DAOV,35.207725,0.147142
234,AZR,DAUA,27.837589,-0.186414
235,BSK,DAUB,34.793289,5.738231
236,ELG,DAUE,30.571294,2.859586
237,GHA,DAUG,32.384106,3.794114
238,HME,DAUH,31.672972,6.140444
239,INZ,DAUI,27.251022,2.512017
240,TGR,DAUK,33.067803,6.088672
241,LOO,DAUL,33.764383,2.928344
242,TMX,DAUT,29.237119,0.276033
243,OGX,DAUU,31.917223,5.412778
244,IAM,DAUZ,28.05155,9.642911
245,COO,DBBB,6.357228,2.384353
246,OUA,DFFD,12.353194,-1.512417
247,BOY,DFOO,11.160056,-4.330969
248,ACC,DGAA,5.605186,-0.166786
249,TML,DGLE,9.557192,-0.863214
250,,DGLW,10.082664,-2.507694
251,NYI,DGSN,7.361828,-2.328756
252,TKD,DGTK,4.896056,-1.774756
